COUNTRY,FLOW,PARTNER,YEAR,VALUE
Australia,Exports,Austria,2011,73144918
Australia,Exports,Austria,2012,71483059
Australia,Exports,Austria,2013,67897422
Australia,Exports,Austria,2014,61114752
Australia,Exports,Austria,2015,54730242
Australia,Exports,Austria,2016,25706711
Australia,Exports,Austria,2017,34765478
Australia,Exports,Austria,2018,27169681
Australia,Exports,Belgium,2011,1237897212
Australia,Exports,Belgium,2012,1434062444
Australia,Exports,Belgium,2013,1049939589
Australia,Exports,Belgium,2014,915627559
Australia,Exports,Belgium,2015,835177781
Australia,Exports,Belgium,2016,638302640
Australia,Exports,Belgium,2017,889526722
Australia,Exports,Belgium,2018,719321463
Australia,Exports,Canada,2011,1288512980
Australia,Exports,Canada,2012,1374379463
Australia,Exports,Canada,2013,1053995699
Australia,Exports,Canada,2014,1014606743
Australia,Exports,Canada,2015,984218353
Australia,Exports,Canada,2016,1185141298
Australia,Exports,Canada,2017,1100783741
Australia,Exports,Canada,2018,1255782398
Australia,Exports,Czech Republic,2011,116485473
Australia,Exports,Czech Republic,2012,108516181
Australia,Exports,Czech Republic,2013,108137231
Australia,Exports,Czech Republic,2014,108056992
Australia,Exports,Czech Republic,2015,104264230
Australia,Exports,Czech Republic,2016,107411622
Australia,Exports,Czech Republic,2017,132242671
Australia,Exports,Czech Republic,2018,137195345
Australia,Exports,Denmark,2011,159664597
Australia,Exports,Denmark,2012,149572802
Australia,Exports,Denmark,2013,99554816
Australia,Exports,Denmark,2014,102187456
Australia,Exports,Denmark,2015,90742346
Australia,Exports,Denmark,2016,98667471
Australia,Exports,Denmark,2017,120178953
Australia,Exports,Denmark,2018,71483772
Australia,Exports,Finland,2011,156250813
Australia,Exports,Finland,2012,124116206
Australia,Exports,Finland,2013,65446639
Australia,Exports,Finland,2014,42513376
Australia,Exports,Finland,2015,27181775
Australia,Exports,Finland,2016,51571392
Australia,Exports,Finland,2017,44838197
Australia,Exports,Finland,2018,65826294
Australia,Exports,France,2011,1092649124
Australia,Exports,France,2012,920409007
Australia,Exports,France,2013,1157545445
Australia,Exports,France,2014,1008819993
Australia,Exports,France,2015,822999663
Australia,Exports,France,2016,778613624
Australia,Exports,France,2017,996745891
Australia,Exports,France,2018,1146178265
Australia,Exports,Germany,2011,1936154361
Australia,Exports,Germany,2012,1678758213
Australia,Exports,Germany,2013,1379235677
Australia,Exports,Germany,2014,1223377143
Australia,Exports,Germany,2015,1136426479
Australia,Exports,Germany,2016,1305684288
Australia,Exports,Germany,2017,1528996710
Australia,Exports,Germany,2018,1666033151
Australia,Exports,Greece,2011,19066432
Australia,Exports,Greece,2012,26746666
Australia,Exports,Greece,2013,10336313
Australia,Exports,Greece,2014,10971815
Australia,Exports,Greece,2015,10655465
Australia,Exports,Greece,2016,12109822
Australia,Exports,Greece,2017,14759118
Australia,Exports,Greece,2018,23623636
Australia,Exports,Hungary,2011,14407675
Australia,Exports,Hungary,2012,12091800
Australia,Exports,Hungary,2013,17604242
Australia,Exports,Hungary,2014,15895085
Australia,Exports,Hungary,2015,19018661
Australia,Exports,Hungary,2016,23712395
Australia,Exports,Hungary,2017,21536287
Australia,Exports,Hungary,2018,27096155
Australia,Exports,Iceland,2011,3173101
Australia,Exports,Iceland,2012,3662585
Australia,Exports,Iceland,2013,1595961
Australia,Exports,Iceland,2014,3751190
Australia,Exports,Iceland,2015,1546396
Australia,Exports,Iceland,2016,171869094
Australia,Exports,Iceland,2017,187477108
Australia,Exports,Iceland,2018,239293699
Australia,Exports,Ireland,2011,98727647
Australia,Exports,Ireland,2012,80109612
Australia,Exports,Ireland,2013,64693763
Australia,Exports,Ireland,2014,46337161
Australia,Exports,Ireland,2015,48155631
Australia,Exports,Ireland,2016,77132898
Australia,Exports,Ireland,2017,75282870
Australia,Exports,Ireland,2018,79436204
Australia,Exports,Italy,2011,1137659617
Australia,Exports,Italy,2012,806268526
Australia,Exports,Italy,2013,661226077
Australia,Exports,Italy,2014,585620238
Australia,Exports,Italy,2015,549864006
Australia,Exports,Italy,2016,507468095
Australia,Exports,Italy,2017,561779131
Australia,Exports,Italy,2018,628422872
Australia,Exports,Japan,2011,41582449862
Australia,Exports,Japan,2012,36641054073
Australia,Exports,Japan,2013,31193119531
Australia,Exports,Japan,2014,27482929393
Australia,Exports,Japan,2015,20505085409
Australia,Exports,Japan,2016,19401063797
Australia,Exports,Japan,2017,25565133577
Australia,Exports,Japan,2018,36677760992
Australia,Exports,Korea,2011,23036373990
Australia,Exports,Korea,2012,19697178042
Australia,Exports,Korea,2013,17698988486
Australia,Exports,Korea,2014,15630692553
Australia,Exports,Korea,2015,11829492654
Australia,Exports,Korea,2016,11154717073
Australia,Exports,Korea,2017,13652734788
Australia,Exports,Korea,2018,16503048583
Australia,Exports,Luxembourg,2011,986138
Australia,Exports,Luxembourg,2012,1829882
Australia,Exports,Luxembourg,2013,2409193
Australia,Exports,Luxembourg,2014,749390
Australia,Exports,Luxembourg,2015,9151186
Australia,Exports,Luxembourg,2016,1420293
Australia,Exports,Luxembourg,2017,2299173
Australia,Exports,Luxembourg,2018,43195423
Australia,Exports,Mexico,2011,1159872536
Australia,Exports,Mexico,2012,879431904
Australia,Exports,Mexico,2013,352231311
Australia,Exports,Mexico,2014,438087548
Australia,Exports,Mexico,2015,405059809
Australia,Exports,Mexico,2016,271221726
Australia,Exports,Mexico,2017,133005519
Australia,Exports,Mexico,2018,175294674
Australia,Exports,Netherlands,2011,2993995869
Australia,Exports,Netherlands,2012,2489785012
Australia,Exports,Netherlands,2013,2004563756
Australia,Exports,Netherlands,2014,1733149682
Australia,Exports,Netherlands,2015,1716650616
Australia,Exports,Netherlands,2016,1648814008
Australia,Exports,Netherlands,2017,2148671568
Australia,Exports,Netherlands,2018,2432427924
Australia,Exports,New Zealand,2011,7440270130
Australia,Exports,New Zealand,2012,7403001182
Australia,Exports,New Zealand,2013,6781413636
Australia,Exports,New Zealand,2014,6977441745
Australia,Exports,New Zealand,2015,6087315953
Australia,Exports,New Zealand,2016,6409643435
Australia,Exports,New Zealand,2017,6812391383
Australia,Exports,New Zealand,2018,7136034320
Australia,Exports,Norway,2011,48103181
Australia,Exports,Norway,2012,52813584
Australia,Exports,Norway,2013,86085861
Australia,Exports,Norway,2014,181381813
Australia,Exports,Norway,2015,41291475
Australia,Exports,Norway,2016,41793722
Australia,Exports,Norway,2017,50863059
Australia,Exports,Norway,2018,116966463
Australia,Exports,Poland,2011,28489826
Australia,Exports,Poland,2012,65118366
Australia,Exports,Poland,2013,130675729
Australia,Exports,Poland,2014,290864811
Australia,Exports,Poland,2015,249606599
Australia,Exports,Poland,2016,225181536
Australia,Exports,Poland,2017,332824741
Australia,Exports,Poland,2018,352427164
Australia,Exports,Portugal,2011,14516864
Australia,Exports,Portugal,2012,9135830
Australia,Exports,Portugal,2013,15653815
Australia,Exports,Portugal,2014,16773381
Australia,Exports,Portugal,2015,13055788
Australia,Exports,Portugal,2016,12353269
Australia,Exports,Portugal,2017,40728145
Australia,Exports,Portugal,2018,30779289
Australia,Exports,Slovak Republic,2011,1864807
Australia,Exports,Slovak Republic,2012,2657697
Australia,Exports,Slovak Republic,2013,1318840
Australia,Exports,Slovak Republic,2014,2941010
Australia,Exports,Slovak Republic,2015,2566615
Australia,Exports,Slovak Republic,2016,17714457
Australia,Exports,Slovak Republic,2017,1985255
Australia,Exports,Slovak Republic,2018,2561248
Australia,Exports,Spain,2011,694315878
Australia,Exports,Spain,2012,487054437
Australia,Exports,Spain,2013,365283622
Australia,Exports,Spain,2014,441782191
Australia,Exports,Spain,2015,401321899
Australia,Exports,Spain,2016,347401430
Australia,Exports,Spain,2017,448716840
Australia,Exports,Spain,2018,625625793
Australia,Exports,Sweden,2011,450936984
Australia,Exports,Sweden,2012,356504109
Australia,Exports,Sweden,2013,238325470
Australia,Exports,Sweden,2014,255087664
Australia,Exports,Sweden,2015,208004910
Australia,Exports,Sweden,2016,184829695
Australia,Exports,Sweden,2017,229087397
Australia,Exports,Sweden,2018,292999561
Australia,Exports,Switzerland,2011,667820036
Australia,Exports,Switzerland,2012,685729357
Australia,Exports,Switzerland,2013,794732064
Australia,Exports,Switzerland,2014,494355453
Australia,Exports,Switzerland,2015,590274265
Australia,Exports,Switzerland,2016,779204931
Australia,Exports,Switzerland,2017,1093695476
Australia,Exports,Switzerland,2018,869203527
Australia,Exports,Turkey,2011,576995547
Australia,Exports,Turkey,2012,685620204
Australia,Exports,Turkey,2013,857393114
Australia,Exports,Turkey,2014,442779449
Australia,Exports,Turkey,2015,357280147
Australia,Exports,Turkey,2016,402620380
Australia,Exports,Turkey,2017,1121691386
Australia,Exports,Turkey,2018,330196969
Australia,Exports,United Kingdom,2011,7467858947
Australia,Exports,United Kingdom,2012,6621229282
Australia,Exports,United Kingdom,2013,3531071151
Australia,Exports,United Kingdom,2014,3307117589
Australia,Exports,United Kingdom,2015,2750048251
Australia,Exports,United Kingdom,2016,7422483085
Australia,Exports,United Kingdom,2017,4595057398
Australia,Exports,United Kingdom,2018,3606229428
Australia,Exports,United States,2011,8204945209
Australia,Exports,United States,2012,7916244045
Australia,Exports,United States,2013,7587362332
Australia,Exports,United States,2014,9311359638
Australia,Exports,United States,2015,9310645414
Australia,Exports,United States,2016,8301850725
Australia,Exports,United States,2017,8502579726
Australia,Exports,United States,2018,9397107824
Australia,Exports,Argentina,2011,297358100
Australia,Exports,Argentina,2012,140306132
Australia,Exports,Argentina,2013,125244044
Australia,Exports,Argentina,2014,106130937
Australia,Exports,Argentina,2015,125863493
